dataset,model,trained_loss,metric,mean_reconstruction_value,std_reconstruction_value,mean_clean_input_value,mean_model_seconds,mean_peak_memory_mb,num_rows
ncaltech101,pointnet_ae,hausdorff,hausdorff,0.14634,0.029862,6.9053e-04,0.023668,151.503125,20
ncaltech101,pointnet_ae,hausdorff,mse,0.136606,0.014698,0,0.023668,151.503125,20
ncaltech101,pointnet_ae,hausdorff,temporal_weighted_chamfer,0.007429,0.003425,5.3484e-08,0.023668,151.503125,20
ncaltech101,pointnet_ae,sinkhorn,chamfer,0.008805,0.001254,7.0684e-08,0.589091,87.68125,20
ncaltech101,pointnet_ae,sinkhorn,hausdorff,0.21604,0.015534,6.9053e-04,0.589091,87.68125,20
ncaltech101,pointnet_ae,sinkhorn,mse,0.605146,0.015267,0,0.589091,87.68125,20
ncaltech101,pointnet_ae,sinkhorn,temporal_weighted_chamfer,0.008805,0.001254,7.0684e-08,0.589091,87.68125,20
ncaltech101,pointnet_ae,temporal_weighted_chamfer,chamfer,0.002846,5.6053e-04,5.3479e-08,0.019936,151.503125,20
ncaltech101,pointnet_ae,temporal_weighted_chamfer,hausdorff,0.147021,0.021216,6.9053e-04,0.019936,151.503125,20
ncaltech101,pointnet_ae,temporal_weighted_chamfer,mse,0.152014,0.010452,0,0.019936,151.503125,20
ncaltech101,pointnet_ae,temporal_weighted_chamfer,temporal_weighted_chamfer,0.002846,5.6053e-04,5.3479e-08,0.019936,151.503125,20
ncaltech101,pointnetpp_ae,chamfer,chamfer,0.003105,9.0160e-04,5.3479e-08,0.072099,146.906445,20
ncaltech101,pointnetpp_ae,chamfer,hausdorff,0.153958,0.024428,6.9053e-04,0.072099,146.906445,20
ncaltech101,pointnetpp_ae,chamfer,mse,0.149832,0.012673,0,0.072099,146.906445,20
ncaltech101,pointnetpp_ae,chamfer,temporal_weighted_chamfer,0.003105,9.0160e-04,5.3479e-08,0.072099,146.906445,20
ncaltech101,pointnetpp_ae,density_aware_chamfer,chamfer,0.004225,0.002191,5.3484e-08,0.110238,146.906445,20
ncaltech101,pointnetpp_ae,density_aware_chamfer,hausdorff,0.26504,0.105941,6.9053e-04,0.110238,146.906445,20
ncaltech101,pointnetpp_ae,density_aware_chamfer,mse,0.150925,0.012749,0,0.110238,146.906445,20
ncaltech101,pointnetpp_ae,density_aware_chamfer,temporal_weighted_chamfer,0.004225,0.002191,5.3484e-08,0.110238,146.906445,20
ncaltech101,pointnetpp_ae,hausdorff,chamfer,0.007357,0.003707,5.3484e-08,0.121212,146.906445,20
ncaltech101,pointnetpp_ae,hausdorff,hausdorff,0.145021,0.029647,6.9053e-04,0.121212,146.906445,20
ncaltech101,pointnetpp_ae,hausdorff,mse,0.136341,0.015234,0,0.121212,146.906445,20
ncaltech101,pointnetpp_ae,hausdorff,temporal_weighted_chamfer,0.007357,0.003707,5.3484e-08,0.121212,146.906445,20
